**********************************************************************************

Results for system: 28 Li 12 La 48 O   8 Zr

DATE:   2/ 1/2019   11: 0:19

The first 10 points are the polyhedron corner points

**********************************************************************************

   mu_Li      mu_La      mu_O    |   mu_Zr
   -2.0442    -6.1541    -0.9461 |   -7.6126
   -2.0442    -6.1541    -0.9261 |   -7.7326
   -2.0442    -6.1341    -0.9661 |   -7.5226
   -2.0442    -6.1341    -0.9461 |   -7.6426
   -2.0442    -6.1341    -0.9261 |   -7.7626
   -2.0442    -6.1141    -0.9661 |   -7.5526
   -2.0442    -6.1141    -0.9461 |   -7.6726
   -2.0442    -6.0941    -0.9861 |   -7.4626
   -2.0442    -6.0941    -0.9661 |   -7.5826
   -2.0442    -6.0741    -1.0061 |   -7.3726
   -2.0442    -6.0741    -0.9861 |   -7.4926
   -2.0442    -6.0741    -0.9661 |   -7.6126
   -2.0442    -6.0541    -1.0061 |   -7.4026
   -2.0442    -6.0541    -0.9861 |   -7.5226
   -2.0442    -6.0341    -1.0261 |   -7.3126
   -2.0442    -6.0341    -1.0061 |   -7.4326
   -2.0442    -6.0141    -1.0261 |   -7.3426
   -2.0442    -6.0141    -1.0061 |   -7.4626
   -2.0442    -5.9941    -1.0461 |   -7.2526
   -2.0442    -5.9941    -1.0261 |   -7.3726
   -2.0442    -5.9741    -1.0461 |   -7.2826
   -2.0442    -5.9541    -1.0661 |   -7.1926
   -2.0442    -5.9541    -1.0461 |   -7.3126
   -2.0442    -5.9341    -1.0661 |   -7.2226
   -2.0442    -5.9141    -1.0861 |   -7.1326
   -2.0442    -5.8941    -1.0861 |   -7.1626
   -2.0442    -5.8741    -1.1061 |   -7.0726
   -2.0442    -5.8341    -1.1261 |   -7.0126
   -2.0242    -6.5141    -0.7461 |   -8.3426
   -2.0242    -6.4941    -0.7461 |   -8.3726
   -2.0242    -6.4741    -0.7661 |   -8.2826
   -2.0242    -6.4741    -0.7461 |   -8.4026
   -2.0242    -6.4541    -0.7661 |   -8.3126
   -2.0242    -6.4541    -0.7461 |   -8.4326
   -2.0242    -6.4341    -0.7861 |   -8.2226
   -2.0242    -6.4341    -0.7661 |   -8.3426
   -2.0242    -6.4341    -0.7461 |   -8.4626
   -2.0242    -6.4141    -0.8061 |   -8.1326
   -2.0242    -6.4141    -0.7861 |   -8.2526
   -2.0242    -6.4141    -0.7661 |   -8.3726
   -2.0242    -6.4141    -0.7461 |   -8.4926
   -2.0242    -6.3941    -0.8061 |   -8.1626
   -2.0242    -6.3941    -0.7861 |   -8.2826
   -2.0242    -6.3941    -0.7661 |   -8.4026
   -2.0242    -6.3741    -0.8261 |   -8.0726
   -2.0242    -6.3741    -0.8061 |   -8.1926
   -2.0242    -6.3741    -0.7861 |   -8.3126
   -2.0242    -6.3741    -0.7661 |   -8.4326
   -2.0242    -6.3541    -0.8261 |   -8.1026
   -2.0242    -6.3541    -0.8061 |   -8.2226
   -2.0242    -6.3541    -0.7861 |   -8.3426
   -2.0242    -6.3341    -0.8461 |   -8.0126
   -2.0242    -6.3341    -0.8261 |   -8.1326
   -2.0242    -6.3341    -0.8061 |   -8.2526
   -2.0242    -6.3141    -0.8661 |   -7.9226
   -2.0242    -6.3141    -0.8461 |   -8.0426
   -2.0242    -6.3141    -0.8261 |   -8.1626
   -2.0242    -6.3141    -0.8061 |   -8.2826
   -2.0242    -6.2941    -0.8661 |   -7.9526
   -2.0242    -6.2941    -0.8461 |   -8.0726
   -2.0242    -6.2941    -0.8261 |   -8.1926
   -2.0242    -6.2741    -0.8861 |   -7.8626
   -2.0242    -6.2741    -0.8661 |   -7.9826
   -2.0242    -6.2741    -0.8461 |   -8.1026
   -2.0242    -6.2541    -0.8861 |   -7.8926
   -2.0242    -6.2541    -0.8661 |   -8.0126
   -2.0242    -6.2541    -0.8461 |   -8.1326
   -2.0242    -6.2341    -0.9061 |   -7.8026
   -2.0242    -6.2341    -0.8861 |   -7.9226
   -2.0242    -6.2341    -0.8661 |   -8.0426
   -2.0242    -6.2141    -0.9261 |   -7.7126
   -2.0242    -6.2141    -0.9061 |   -7.8326
   -2.0242    -6.2141    -0.8861 |   -7.9526
   -2.0242    -6.1941    -0.9261 |   -7.7426
   -2.0242    -6.1941    -0.9061 |   -7.8626
   -2.0242    -6.1941    -0.8861 |   -7.9826
   -2.0242    -6.1741    -0.9461 |   -7.6526
   -2.0242    -6.1741    -0.9261 |   -7.7726
   -2.0242    -6.1741    -0.9061 |   -7.8926
   -2.0242    -6.1541    -0.9461 |   -7.6826
   -2.0242    -6.1541    -0.9261 |   -7.8026
   -2.0242    -6.1341    -0.9661 |   -7.5926
   -2.0242    -6.1341    -0.9461 |   -7.7126
   -2.0242    -6.1341    -0.9261 |   -7.8326
   -2.0242    -6.1141    -0.9861 |   -7.5026
   -2.0242    -6.1141    -0.9661 |   -7.6226
   -2.0242    -6.1141    -0.9461 |   -7.7426
   -2.0242    -6.0941    -0.9861 |   -7.5326
   -2.0242    -6.0941    -0.9661 |   -7.6526
   -2.0242    -6.0741    -1.0061 |   -7.4426
   -2.0242    -6.0741    -0.9861 |   -7.5626
   -2.0242    -6.0741    -0.9661 |   -7.6826
   -2.0242    -6.0541    -1.0061 |   -7.4726
   -2.0242    -6.0541    -0.9861 |   -7.5926
   -2.0242    -6.0341    -1.0261 |   -7.3826
   -2.0242    -6.0341    -1.0061 |   -7.5026
   -2.0242    -6.0141    -1.0461 |   -7.2926
   -2.0242    -6.0141    -1.0261 |   -7.4126
   -2.0242    -6.0141    -1.0061 |   -7.5326
   -2.0242    -5.9941    -1.0461 |   -7.3226
   -2.0242    -5.9941    -1.0261 |   -7.4426
   -2.0242    -5.9741    -1.0661 |   -7.2326
   -2.0242    -5.9741    -1.0461 |   -7.3526
   -2.0242    -5.9541    -1.0661 |   -7.2626
   -2.0242    -5.9541    -1.0461 |   -7.3826
   -2.0242    -5.9341    -1.0861 |   -7.1726
   -2.0242    -5.9341    -1.0661 |   -7.2926
   -2.0242    -5.9141    -1.0861 |   -7.2026
   -2.0242    -5.8941    -1.1061 |   -7.1126
   -2.0242    -5.8941    -1.0861 |   -7.2326
   -2.0242    -5.8741    -1.1061 |   -7.1426
   -2.0242    -5.8541    -1.1261 |   -7.0526
   -2.0242    -5.8341    -1.1261 |   -7.0826
   -2.0242    -5.8141    -1.1461 |   -6.9926
   -2.0242    -5.7741    -1.1661 |   -6.9326
   -2.0042    -6.4541    -0.7861 |   -8.2626
   -2.0042    -6.4341    -0.7861 |   -8.2926
   -2.0042    -6.4141    -0.8061 |   -8.2026
   -2.0042    -6.4141    -0.7861 |   -8.3226
   -2.0042    -6.3941    -0.8061 |   -8.2326
   -2.0042    -6.3941    -0.7861 |   -8.3526
   -2.0042    -6.3741    -0.8261 |   -8.1426
   -2.0042    -6.3741    -0.8061 |   -8.2626
   -2.0042    -6.3741    -0.7861 |   -8.3826
   -2.0042    -6.3541    -0.8461 |   -8.0526
   -2.0042    -6.3541    -0.8261 |   -8.1726
   -2.0042    -6.3541    -0.8061 |   -8.2926
   -2.0042    -6.3541    -0.7861 |   -8.4126
   -2.0042    -6.3341    -0.8461 |   -8.0826
   -2.0042    -6.3341    -0.8261 |   -8.2026
   -2.0042    -6.3341    -0.8061 |   -8.3226
   -2.0042    -6.3141    -0.8661 |   -7.9926
   -2.0042    -6.3141    -0.8461 |   -8.1126
   -2.0042    -6.3141    -0.8261 |   -8.2326
   -2.0042    -6.3141    -0.8061 |   -8.3526
   -2.0042    -6.2941    -0.8661 |   -8.0226
   -2.0042    -6.2941    -0.8461 |   -8.1426
   -2.0042    -6.2941    -0.8261 |   -8.2626
   -2.0042    -6.2741    -0.8861 |   -7.9326
   -2.0042    -6.2741    -0.8661 |   -8.0526
   -2.0042    -6.2741    -0.8461 |   -8.1726
   -2.0042    -6.2541    -0.9061 |   -7.8426
   -2.0042    -6.2541    -0.8861 |   -7.9626
   -2.0042    -6.2541    -0.8661 |   -8.0826
   -2.0042    -6.2541    -0.8461 |   -8.2026
   -2.0042    -6.2341    -0.9061 |   -7.8726
   -2.0042    -6.2341    -0.8861 |   -7.9926
   -2.0042    -6.2341    -0.8661 |   -8.1126
   -2.0042    -6.2141    -0.9261 |   -7.7826
   -2.0042    -6.2141    -0.9061 |   -7.9026
   -2.0042    -6.2141    -0.8861 |   -8.0226
   -2.0042    -6.1941    -0.9261 |   -7.8126
   -2.0042    -6.1941    -0.9061 |   -7.9326
   -2.0042    -6.1941    -0.8861 |   -8.0526
   -2.0042    -6.1741    -0.9461 |   -7.7226
   -2.0042    -6.1741    -0.9261 |   -7.8426
   -2.0042    -6.1741    -0.9061 |   -7.9626
   -2.0042    -6.1541    -0.9661 |   -7.6326
   -2.0042    -6.1541    -0.9461 |   -7.7526
   -2.0042    -6.1541    -0.9261 |   -7.8726
   -2.0042    -6.1341    -0.9661 |   -7.6626
   -2.0042    -6.1341    -0.9461 |   -7.7826
   -2.0042    -6.1341    -0.9261 |   -7.9026
   -2.0042    -6.1141    -0.9861 |   -7.5726
   -2.0042    -6.1141    -0.9661 |   -7.6926
   -2.0042    -6.1141    -0.9461 |   -7.8126
   -2.0042    -6.0941    -0.9861 |   -7.6026
   -2.0042    -6.0941    -0.9661 |   -7.7226
   -2.0042    -6.0741    -1.0061 |   -7.5126
   -2.0042    -6.0741    -0.9861 |   -7.6326
   -2.0042    -6.0741    -0.9661 |   -7.7526
   -2.0042    -6.0541    -1.0261 |   -7.4226
   -2.0042    -6.0541    -1.0061 |   -7.5426
   -2.0042    -6.0541    -0.9861 |   -7.6626
   -2.0042    -6.0341    -1.0261 |   -7.4526
   -2.0042    -6.0341    -1.0061 |   -7.5726
   -2.0042    -6.0141    -1.0461 |   -7.3626
   -2.0042    -6.0141    -1.0261 |   -7.4826
   -2.0042    -6.0141    -1.0061 |   -7.6026
   -2.0042    -5.9941    -1.0461 |   -7.3926
   -2.0042    -5.9941    -1.0261 |   -7.5126
   -2.0042    -5.9741    -1.0661 |   -7.3026
   -2.0042    -5.9741    -1.0461 |   -7.4226
   -2.0042    -5.9541    -1.0861 |   -7.2126
   -2.0042    -5.9541    -1.0661 |   -7.3326
   -2.0042    -5.9541    -1.0461 |   -7.4526
   -2.0042    -5.9341    -1.0861 |   -7.2426
   -2.0042    -5.9341    -1.0661 |   -7.3626
   -2.0042    -5.9141    -1.1061 |   -7.1526
   -2.0042    -5.9141    -1.0861 |   -7.2726
   -2.0042    -5.8941    -1.1061 |   -7.1826
   -2.0042    -5.8941    -1.0861 |   -7.3026
   -2.0042    -5.8741    -1.1261 |   -7.0926
   -2.0042    -5.8741    -1.1061 |   -7.2126
   -2.0042    -5.8541    -1.1261 |   -7.1226
   -2.0042    -5.8341    -1.1461 |   -7.0326
   -2.0042    -5.8341    -1.1261 |   -7.1526
   -2.0042    -5.8141    -1.1461 |   -7.0626
   -2.0042    -5.7941    -1.1661 |   -6.9726
   -2.0042    -5.7741    -1.1661 |   -7.0026
   -2.0042    -5.7541    -1.1861 |   -6.9126
   -2.0042    -5.7141    -1.2061 |   -6.8526
   -1.9842    -6.3941    -0.8261 |   -8.1826
   -1.9842    -6.3741    -0.8261 |   -8.2126
   -1.9842    -6.3541    -0.8461 |   -8.1226
   -1.9842    -6.3541    -0.8261 |   -8.2426
   -1.9842    -6.3341    -0.8461 |   -8.1526
   -1.9842    -6.3341    -0.8261 |   -8.2726
   -1.9842    -6.3141    -0.8661 |   -8.0626
   -1.9842    -6.3141    -0.8461 |   -8.1826
   -1.9842    -6.3141    -0.8261 |   -8.3026
   -1.9842    -6.2941    -0.8861 |   -7.9726
   -1.9842    -6.2941    -0.8661 |   -8.0926
   -1.9842    -6.2941    -0.8461 |   -8.2126
   -1.9842    -6.2941    -0.8261 |   -8.3326
   -1.9842    -6.2741    -0.8861 |   -8.0026
   -1.9842    -6.2741    -0.8661 |   -8.1226
   -1.9842    -6.2741    -0.8461 |   -8.2426
   -1.9842    -6.2541    -0.9061 |   -7.9126
   -1.9842    -6.2541    -0.8861 |   -8.0326
   -1.9842    -6.2541    -0.8661 |   -8.1526
   -1.9842    -6.2541    -0.8461 |   -8.2726
   -1.9842    -6.2341    -0.9061 |   -7.9426
   -1.9842    -6.2341    -0.8861 |   -8.0626
   -1.9842    -6.2341    -0.8661 |   -8.1826
   -1.9842    -6.2141    -0.9261 |   -7.8526
   -1.9842    -6.2141    -0.9061 |   -7.9726
   -1.9842    -6.2141    -0.8861 |   -8.0926
   -1.9842    -6.1941    -0.9461 |   -7.7626
   -1.9842    -6.1941    -0.9261 |   -7.8826
   -1.9842    -6.1941    -0.9061 |   -8.0026
   -1.9842    -6.1941    -0.8861 |   -8.1226
   -1.9842    -6.1741    -0.9461 |   -7.7926
   -1.9842    -6.1741    -0.9261 |   -7.9126
   -1.9842    -6.1741    -0.9061 |   -8.0326
   -1.9842    -6.1541    -0.9661 |   -7.7026
   -1.9842    -6.1541    -0.9461 |   -7.8226
   -1.9842    -6.1541    -0.9261 |   -7.9426
   -1.9842    -6.1341    -0.9661 |   -7.7326
   -1.9842    -6.1341    -0.9461 |   -7.8526
   -1.9842    -6.1341    -0.9261 |   -7.9726
   -1.9842    -6.1141    -0.9861 |   -7.6426
   -1.9842    -6.1141    -0.9661 |   -7.7626
   -1.9842    -6.1141    -0.9461 |   -7.8826
   -1.9842    -6.0941    -1.0061 |   -7.5526
   -1.9842    -6.0941    -0.9861 |   -7.6726
   -1.9842    -6.0941    -0.9661 |   -7.7926
   -1.9842    -6.0741    -1.0061 |   -7.5826
   -1.9842    -6.0741    -0.9861 |   -7.7026
   -1.9842    -6.0741    -0.9661 |   -7.8226
   -1.9842    -6.0541    -1.0261 |   -7.4926
   -1.9842    -6.0541    -1.0061 |   -7.6126
   -1.9842    -6.0541    -0.9861 |   -7.7326
   -1.9842    -6.0341    -1.0261 |   -7.5226
   -1.9842    -6.0341    -1.0061 |   -7.6426
   -1.9842    -6.0141    -1.0461 |   -7.4326
   -1.9842    -6.0141    -1.0261 |   -7.5526
   -1.9842    -6.0141    -1.0061 |   -7.6726
   -1.9842    -5.9941    -1.0661 |   -7.3426
   -1.9842    -5.9941    -1.0461 |   -7.4626
   -1.9842    -5.9941    -1.0261 |   -7.5826
   -1.9842    -5.9741    -1.0661 |   -7.3726
   -1.9842    -5.9741    -1.0461 |   -7.4926
   -1.9842    -5.9541    -1.0861 |   -7.2826
   -1.9842    -5.9541    -1.0661 |   -7.4026
   -1.9842    -5.9541    -1.0461 |   -7.5226
   -1.9842    -5.9341    -1.0861 |   -7.3126
   -1.9842    -5.9341    -1.0661 |   -7.4326
   -1.9842    -5.9141    -1.1061 |   -7.2226
   -1.9842    -5.9141    -1.0861 |   -7.3426
   -1.9842    -5.8941    -1.1261 |   -7.1326
   -1.9842    -5.8941    -1.1061 |   -7.2526
   -1.9842    -5.8941    -1.0861 |   -7.3726
   -1.9842    -5.8741    -1.1261 |   -7.1626
   -1.9842    -5.8741    -1.1061 |   -7.2826
   -1.9842    -5.8541    -1.1461 |   -7.0726
   -1.9842    -5.8541    -1.1261 |   -7.1926
   -1.9842    -5.8341    -1.1461 |   -7.1026
   -1.9842    -5.8341    -1.1261 |   -7.2226
   -1.9842    -5.8141    -1.1661 |   -7.0126
   -1.9842    -5.8141    -1.1461 |   -7.1326
   -1.9842    -5.7941    -1.1661 |   -7.0426
   -1.9842    -5.7741    -1.1861 |   -6.9526
   -1.9842    -5.7741    -1.1661 |   -7.0726
   -1.9842    -5.7541    -1.1861 |   -6.9826
   -1.9842    -5.7341    -1.2061 |   -6.8926
   -1.9842    -5.7141    -1.2061 |   -6.9226
   -1.9842    -5.6941    -1.2261 |   -6.8326
   -1.9842    -5.6541    -1.2461 |   -6.7726
   -1.9642    -6.3341    -0.8661 |   -8.1026
   -1.9642    -6.3141    -0.8661 |   -8.1326
   -1.9642    -6.2941    -0.8861 |   -8.0426
   -1.9642    -6.2941    -0.8661 |   -8.1626
   -1.9642    -6.2741    -0.8861 |   -8.0726
   -1.9642    -6.2741    -0.8661 |   -8.1926
   -1.9642    -6.2541    -0.9061 |   -7.9826
   -1.9642    -6.2541    -0.8861 |   -8.1026
   -1.9642    -6.2541    -0.8661 |   -8.2226
   -1.9642    -6.2341    -0.9261 |   -7.8926
   -1.9642    -6.2341    -0.9061 |   -8.0126
   -1.9642    -6.2341    -0.8861 |   -8.1326
   -1.9642    -6.2341    -0.8661 |   -8.2526
   -1.9642    -6.2141    -0.9261 |   -7.9226
   -1.9642    -6.2141    -0.9061 |   -8.0426
   -1.9642    -6.2141    -0.8861 |   -8.1626
   -1.9642    -6.1941    -0.9461 |   -7.8326
   -1.9642    -6.1941    -0.9261 |   -7.9526
   -1.9642    -6.1941    -0.9061 |   -8.0726
   -1.9642    -6.1941    -0.8861 |   -8.1926
   -1.9642    -6.1741    -0.9461 |   -7.8626
   -1.9642    -6.1741    -0.9261 |   -7.9826
   -1.9642    -6.1741    -0.9061 |   -8.1026
   -1.9642    -6.1541    -0.9661 |   -7.7726
   -1.9642    -6.1541    -0.9461 |   -7.8926
   -1.9642    -6.1541    -0.9261 |   -8.0126
   -1.9642    -6.1341    -0.9861 |   -7.6826
   -1.9642    -6.1341    -0.9661 |   -7.8026
   -1.9642    -6.1341    -0.9461 |   -7.9226
   -1.9642    -6.1341    -0.9261 |   -8.0426
   -1.9642    -6.1141    -0.9861 |   -7.7126
   -1.9642    -6.1141    -0.9661 |   -7.8326
   -1.9642    -6.1141    -0.9461 |   -7.9526
   -1.9642    -6.0941    -1.0061 |   -7.6226
   -1.9642    -6.0941    -0.9861 |   -7.7426
   -1.9642    -6.0941    -0.9661 |   -7.8626
   -1.9642    -6.0741    -1.0061 |   -7.6526
   -1.9642    -6.0741    -0.9861 |   -7.7726
   -1.9642    -6.0741    -0.9661 |   -7.8926
   -1.9642    -6.0541    -1.0261 |   -7.5626
   -1.9642    -6.0541    -1.0061 |   -7.6826
   -1.9642    -6.0541    -0.9861 |   -7.8026
   -1.9642    -6.0341    -1.0461 |   -7.4726
   -1.9642    -6.0341    -1.0261 |   -7.5926
   -1.9642    -6.0341    -1.0061 |   -7.7126
   -1.9642    -6.0141    -1.0461 |   -7.5026
   -1.9642    -6.0141    -1.0261 |   -7.6226
   -1.9642    -6.0141    -1.0061 |   -7.7426
   -1.9642    -5.9941    -1.0661 |   -7.4126
   -1.9642    -5.9941    -1.0461 |   -7.5326
   -1.9642    -5.9941    -1.0261 |   -7.6526
   -1.9642    -5.9741    -1.0661 |   -7.4426
   -1.9642    -5.9741    -1.0461 |   -7.5626
   -1.9642    -5.9541    -1.0861 |   -7.3526
   -1.9642    -5.9541    -1.0661 |   -7.4726
   -1.9642    -5.9541    -1.0461 |   -7.5926
   -1.9642    -5.9341    -1.1061 |   -7.2626
   -1.9642    -5.9341    -1.0861 |   -7.3826
   -1.9642    -5.9341    -1.0661 |   -7.5026
   -1.9642    -5.9141    -1.1061 |   -7.2926
   -1.9642    -5.9141    -1.0861 |   -7.4126
   -1.9642    -5.8941    -1.1261 |   -7.2026
   -1.9642    -5.8941    -1.1061 |   -7.3226
   -1.9642    -5.8941    -1.0861 |   -7.4426
   -1.9642    -5.8741    -1.1261 |   -7.2326
   -1.9642    -5.8741    -1.1061 |   -7.3526
   -1.9642    -5.8541    -1.1461 |   -7.1426
   -1.9642    -5.8541    -1.1261 |   -7.2626
   -1.9642    -5.8341    -1.1661 |   -7.0526
   -1.9642    -5.8341    -1.1461 |   -7.1726
   -1.9642    -5.8341    -1.1261 |   -7.2926
   -1.9642    -5.8141    -1.1661 |   -7.0826
   -1.9642    -5.8141    -1.1461 |   -7.2026
   -1.9642    -5.7941    -1.1861 |   -6.9926
   -1.9642    -5.7941    -1.1661 |   -7.1126
   -1.9642    -5.7741    -1.1861 |   -7.0226
   -1.9642    -5.7741    -1.1661 |   -7.1426
   -1.9642    -5.7541    -1.2061 |   -6.9326
   -1.9642    -5.7541    -1.1861 |   -7.0526
   -1.9642    -5.7341    -1.2061 |   -6.9626
   -1.9642    -5.7141    -1.2261 |   -6.8726
   -1.9642    -5.7141    -1.2061 |   -6.9926
   -1.9642    -5.6941    -1.2261 |   -6.9026
   -1.9642    -5.6741    -1.2461 |   -6.8126
   -1.9642    -5.6541    -1.2461 |   -6.8426
   -1.9642    -5.6341    -1.2661 |   -6.7526
   -1.9642    -5.5941    -1.2861 |   -6.6926
   -1.9442    -6.2741    -0.9061 |   -8.0226
   -1.9442    -6.2541    -0.9061 |   -8.0526
   -1.9442    -6.2341    -0.9261 |   -7.9626
   -1.9442    -6.2341    -0.9061 |   -8.0826
   -1.9442    -6.2141    -0.9261 |   -7.9926
   -1.9442    -6.2141    -0.9061 |   -8.1126
   -1.9442    -6.1941    -0.9461 |   -7.9026
   -1.9442    -6.1941    -0.9261 |   -8.0226
   -1.9442    -6.1941    -0.9061 |   -8.1426
   -1.9442    -6.1741    -0.9661 |   -7.8126
   -1.9442    -6.1741    -0.9461 |   -7.9326
   -1.9442    -6.1741    -0.9261 |   -8.0526
   -1.9442    -6.1741    -0.9061 |   -8.1726
   -1.9442    -6.1541    -0.9661 |   -7.8426
   -1.9442    -6.1541    -0.9461 |   -7.9626
   -1.9442    -6.1541    -0.9261 |   -8.0826
   -1.9442    -6.1341    -0.9861 |   -7.7526
   -1.9442    -6.1341    -0.9661 |   -7.8726
   -1.9442    -6.1341    -0.9461 |   -7.9926
   -1.9442    -6.1341    -0.9261 |   -8.1126
   -1.9442    -6.1141    -0.9861 |   -7.7826
   -1.9442    -6.1141    -0.9661 |   -7.9026
   -1.9442    -6.1141    -0.9461 |   -8.0226
   -1.9442    -6.0941    -1.0061 |   -7.6926
   -1.9442    -6.0941    -0.9861 |   -7.8126
   -1.9442    -6.0941    -0.9661 |   -7.9326
   -1.9442    -6.0741    -1.0261 |   -7.6026
   -1.9442    -6.0741    -1.0061 |   -7.7226
   -1.9442    -6.0741    -0.9861 |   -7.8426
   -1.9442    -6.0741    -0.9661 |   -7.9626
   -1.9442    -6.0541    -1.0261 |   -7.6326
   -1.9442    -6.0541    -1.0061 |   -7.7526
   -1.9442    -6.0541    -0.9861 |   -7.8726
   -1.9442    -6.0341    -1.0461 |   -7.5426
   -1.9442    -6.0341    -1.0261 |   -7.6626
   -1.9442    -6.0341    -1.0061 |   -7.7826
   -1.9442    -6.0141    -1.0461 |   -7.5726
   -1.9442    -6.0141    -1.0261 |   -7.6926
   -1.9442    -6.0141    -1.0061 |   -7.8126
   -1.9442    -5.9941    -1.0661 |   -7.4826
   -1.9442    -5.9941    -1.0461 |   -7.6026
   -1.9442    -5.9941    -1.0261 |   -7.7226
   -1.9442    -5.9741    -1.0861 |   -7.3926
   -1.9442    -5.9741    -1.0661 |   -7.5126
   -1.9442    -5.9741    -1.0461 |   -7.6326
   -1.9442    -5.9541    -1.0861 |   -7.4226
   -1.9442    -5.9541    -1.0661 |   -7.5426
   -1.9442    -5.9541    -1.0461 |   -7.6626
   -1.9442    -5.9341    -1.1061 |   -7.3326
   -1.9442    -5.9341    -1.0861 |   -7.4526
   -1.9442    -5.9341    -1.0661 |   -7.5726
   -1.9442    -5.9141    -1.1061 |   -7.3626
   -1.9442    -5.9141    -1.0861 |   -7.4826
   -1.9442    -5.8941    -1.1261 |   -7.2726
   -1.9442    -5.8941    -1.1061 |   -7.3926
   -1.9442    -5.8941    -1.0861 |   -7.5126
   -1.9442    -5.8741    -1.1461 |   -7.1826
   -1.9442    -5.8741    -1.1261 |   -7.3026
   -1.9442    -5.8741    -1.1061 |   -7.4226
   -1.9442    -5.8541    -1.1461 |   -7.2126
   -1.9442    -5.8541    -1.1261 |   -7.3326
   -1.9442    -5.8341    -1.1661 |   -7.1226
   -1.9442    -5.8341    -1.1461 |   -7.2426
   -1.9442    -5.8341    -1.1261 |   -7.3626
   -1.9442    -5.8141    -1.1661 |   -7.1526
   -1.9442    -5.8141    -1.1461 |   -7.2726
   -1.9442    -5.7941    -1.1861 |   -7.0626
   -1.9442    -5.7941    -1.1661 |   -7.1826
   -1.9442    -5.7741    -1.2061 |   -6.9726
   -1.9442    -5.7741    -1.1861 |   -7.0926
   -1.9442    -5.7741    -1.1661 |   -7.2126
   -1.9442    -5.7541    -1.2061 |   -7.0026
   -1.9442    -5.7541    -1.1861 |   -7.1226
   -1.9442    -5.7341    -1.2261 |   -6.9126
   -1.9442    -5.7341    -1.2061 |   -7.0326
   -1.9442    -5.7141    -1.2261 |   -6.9426
   -1.9442    -5.7141    -1.2061 |   -7.0626
   -1.9442    -5.6941    -1.2461 |   -6.8526
   -1.9442    -5.6941    -1.2261 |   -6.9726
   -1.9442    -5.6741    -1.2461 |   -6.8826
   -1.9442    -5.6541    -1.2661 |   -6.7926
   -1.9442    -5.6541    -1.2461 |   -6.9126
   -1.9442    -5.6341    -1.2661 |   -6.8226
   -1.9442    -5.6141    -1.2861 |   -6.7326
   -1.9442    -5.5941    -1.2861 |   -6.7626
   -1.9442    -5.5741    -1.3061 |   -6.6726
   -1.9442    -5.5341    -1.3261 |   -6.6126
   -1.9242    -6.2141    -0.9461 |   -7.9426
   -1.9242    -6.1941    -0.9461 |   -7.9726
   -1.9242    -6.1741    -0.9661 |   -7.8826
   -1.9242    -6.1741    -0.9461 |   -8.0026
   -1.9242    -6.1541    -0.9661 |   -7.9126
   -1.9242    -6.1541    -0.9461 |   -8.0326
   -1.9242    -6.1341    -0.9861 |   -7.8226
   -1.9242    -6.1341    -0.9661 |   -7.9426
   -1.9242    -6.1341    -0.9461 |   -8.0626
   -1.9242    -6.1141    -1.0061 |   -7.7326
   -1.9242    -6.1141    -0.9861 |   -7.8526
   -1.9242    -6.1141    -0.9661 |   -7.9726
   -1.9242    -6.1141    -0.9461 |   -8.0926
   -1.9242    -6.0941    -1.0061 |   -7.7626
   -1.9242    -6.0941    -0.9861 |   -7.8826
   -1.9242    -6.0941    -0.9661 |   -8.0026
   -1.9242    -6.0741    -1.0261 |   -7.6726
   -1.9242    -6.0741    -1.0061 |   -7.7926
   -1.9242    -6.0741    -0.9861 |   -7.9126
   -1.9242    -6.0741    -0.9661 |   -8.0326
   -1.9242    -6.0541    -1.0261 |   -7.7026
   -1.9242    -6.0541    -1.0061 |   -7.8226
   -1.9242    -6.0541    -0.9861 |   -7.9426
   -1.9242    -6.0341    -1.0461 |   -7.6126
   -1.9242    -6.0341    -1.0261 |   -7.7326
   -1.9242    -6.0341    -1.0061 |   -7.8526
   -1.9242    -6.0141    -1.0661 |   -7.5226
   -1.9242    -6.0141    -1.0461 |   -7.6426
   -1.9242    -6.0141    -1.0261 |   -7.7626
   -1.9242    -6.0141    -1.0061 |   -7.8826
   -1.9242    -5.9941    -1.0661 |   -7.5526
   -1.9242    -5.9941    -1.0461 |   -7.6726
   -1.9242    -5.9941    -1.0261 |   -7.7926
   -1.9242    -5.9741    -1.0861 |   -7.4626
   -1.9242    -5.9741    -1.0661 |   -7.5826
   -1.9242    -5.9741    -1.0461 |   -7.7026
   -1.9242    -5.9541    -1.0861 |   -7.4926
   -1.9242    -5.9541    -1.0661 |   -7.6126
   -1.9242    -5.9541    -1.0461 |   -7.7326
   -1.9242    -5.9341    -1.1061 |   -7.4026
   -1.9242    -5.9341    -1.0861 |   -7.5226
   -1.9242    -5.9341    -1.0661 |   -7.6426
   -1.9242    -5.9141    -1.1261 |   -7.3126
   -1.9242    -5.9141    -1.1061 |   -7.4326
   -1.9242    -5.9141    -1.0861 |   -7.5526
   -1.9242    -5.8941    -1.1261 |   -7.3426
   -1.9242    -5.8941    -1.1061 |   -7.4626
   -1.9242    -5.8941    -1.0861 |   -7.5826
   -1.9242    -5.8741    -1.1461 |   -7.2526
   -1.9242    -5.8741    -1.1261 |   -7.3726
   -1.9242    -5.8741    -1.1061 |   -7.4926
