**********************************************************************************

Results for system: 28 Li 12 La 48 O   8 Zr

DATE:   2/ 1/2019   11: 0:19

The first 10 points are the polyhedron corner points

**********************************************************************************

   mu_Li      mu_La      mu_O    |   mu_Zr
   -2.4842    -7.3941    -0.1261 |   -9.1326
   -2.4842    -7.3941    -0.1061 |   -9.2526
   -2.4842    -7.3941    -0.0861 |   -9.3726
   -2.4842    -7.3741    -0.1261 |   -9.1626
   -2.4842    -7.3741    -0.1061 |   -9.2826
   -2.4842    -7.3541    -0.1461 |   -9.0726
   -2.4842    -7.3541    -0.1261 |   -9.1926
   -2.4842    -7.3341    -0.1461 |   -9.1026
   -2.4842    -7.3341    -0.1261 |   -9.2226
   -2.4842    -7.3141    -0.1661 |   -9.0126
   -2.4842    -7.3141    -0.1461 |   -9.1326
   -2.4842    -7.2941    -0.1661 |   -9.0426
   -2.4842    -7.2741    -0.1861 |   -8.9526
   -2.4842    -7.2741    -0.1661 |   -9.0726
   -2.4842    -7.2541    -0.1861 |   -8.9826
   -2.4842    -7.2341    -0.2061 |   -8.8926
   -2.4842    -7.2141    -0.2061 |   -8.9226
   -2.4842    -7.1941    -0.2261 |   -8.8326
   -2.4842    -7.1541    -0.2461 |   -8.7726
   -2.4642    -7.5941    -0.0061 |   -9.6226
   -2.4642    -7.5741    -0.0061 |   -9.6526
   -2.4642    -7.5541    -0.0261 |   -9.5626
   -2.4642    -7.5541    -0.0061 |   -9.6826
   -2.4642    -7.5341    -0.0461 |   -9.4726
   -2.4642    -7.5341    -0.0261 |   -9.5926
   -2.4642    -7.5341    -0.0061 |   -9.7126
   -2.4642    -7.5141    -0.0461 |   -9.5026
   -2.4642    -7.5141    -0.0261 |   -9.6226
   -2.4642    -7.5141    -0.0061 |   -9.7426
   -2.4642    -7.4941    -0.0661 |   -9.4126
   -2.4642    -7.4941    -0.0461 |   -9.5326
   -2.4642    -7.4941    -0.0261 |   -9.6526
   -2.4642    -7.4741    -0.0661 |   -9.4426
   -2.4642    -7.4741    -0.0461 |   -9.5626
   -2.4642    -7.4541    -0.0861 |   -9.3526
   -2.4642    -7.4541    -0.0661 |   -9.4726
   -2.4642    -7.4541    -0.0461 |   -9.5926
   -2.4642    -7.4341    -0.1061 |   -9.2626
   -2.4642    -7.4341    -0.0861 |   -9.3826
   -2.4642    -7.4341    -0.0661 |   -9.5026
   -2.4642    -7.4141    -0.1061 |   -9.2926
   -2.4642    -7.4141    -0.0861 |   -9.4126
   -2.4642    -7.3941    -0.1261 |   -9.2026
   -2.4642    -7.3941    -0.1061 |   -9.3226
   -2.4642    -7.3941    -0.0861 |   -9.4426
   -2.4642    -7.3741    -0.1261 |   -9.2326
   -2.4642    -7.3741    -0.1061 |   -9.3526
   -2.4642    -7.3541    -0.1461 |   -9.1426
   -2.4642    -7.3541    -0.1261 |   -9.2626
   -2.4642    -7.3341    -0.1661 |   -9.0526
   -2.4642    -7.3341    -0.1461 |   -9.1726
   -2.4642    -7.3341    -0.1261 |   -9.2926
   -2.4642    -7.3141    -0.1661 |   -9.0826
   -2.4642    -7.3141    -0.1461 |   -9.2026
   -2.4642    -7.2941    -0.1861 |   -8.9926
   -2.4642    -7.2941    -0.1661 |   -9.1126
   -2.4642    -7.2741    -0.1861 |   -9.0226
   -2.4642    -7.2741    -0.1661 |   -9.1426
   -2.4642    -7.2541    -0.2061 |   -8.9326
   -2.4642    -7.2541    -0.1861 |   -9.0526
   -2.4642    -7.2341    -0.2061 |   -8.9626
   -2.4642    -7.2141    -0.2261 |   -8.8726
   -2.4642    -7.2141    -0.2061 |   -8.9926
   -2.4642    -7.1941    -0.2261 |   -8.9026
   -2.4642    -7.1741    -0.2461 |   -8.8126
